Secuencia,Nombre común,Diámetro (cm),Altura total (m),Altura comercial (m),Volumen comercial (m3),Valor comercial aproximado (CRC)
I2341,indio pelado,17.5,10,3,0,0
I2342,indio pelado,19.8,14,,0,0
I2343,indio pelado,15.3,14,,0,0
I2344,guayaquil,22.7,20,4,0,2168.26
I2345,guayaquil,88.3,20,4,1.2247,32808.14
I2346,indio pelado,15.3,8,,0,0
I2347,indio pelado,18.2,8,,0,0
I2348,poró poró,28,8,3,0,0
I2349,arenillo,15.5,8,,0,0
I2350,cedro amargo,20,10,3,0,4111.18
I2351,poró poró,15.3,10,,0,0
I2352,pochote,76,16,2,0,13137.59
I2353,indio pelado,16.6,8,,0,0
I2354,indio pelado,25.8,10,3,0,0
I2355,saíno,16,12,,0,0
I2356,saíno,19.3,12,,0,0
I2357,guarumo,24,15,,0,0
I2358,pochote,19.8,6,,0,0
I2359,poró poró,17.2,8,,0,0
I2360,cedro amargo,18,8,,0,0
I2361,cedro manteco,19,10,3,0,846.76
I2362,guácimo,17.4,6,,0,0
I2363,guácimo,23,7,,0,0
I2364,guácimo,19.6,6,,0,0
I2365,guácimo,16.2,6,,0,0
I2366,jobo,28,12,3,0,2173.30
I2367,frijolillo,20,10,3,0,1364.71
I2368,guácimo,16,8,2,0,400.31
I2369,jobo,52,15,3,0,7495.66
I2370,laurel,21.7,12,,0,0
I2371,guácimo,18,8,,0,0
I2372,tabaquillo,24.8,7,,0,0
I2373,guácimo,18.8,8,,0,0
I2374,guayaquil,27.5,12,4,0,3182.19
I2375,guácimo,35.5,10,3,0,2956.03
I2376,jobo,36.5,15,6,0,7386.16
I2377,guácimo,24.6,10,,0,0
I2378,jobo,25,10,,0,0
I2379,jobo,55,20,5,1,13975.82
I2380,guácimo,29,10,3,0,1972.64
I2381,guácimo,24,10,2,0,900.71
I2382,guácimo,18,9,3,0,759.97
I2383,guayaquil,35,10,6,0,7731.92
I2384,jobo,57,16,4,1,12008.58
I2385,guayaquil,20,16,2,0,841.57
I2386,jobo,34.2,18,5,0,5403.86
I2387,cenízaro,59.3,19,5,1,45740.29
I2388,jobo,35.2,15,4,0,4579.60
I2389,guácimo,17.5,6,,0,0
I2390,guácimo,31.8,12,2,0,1581.30
I2391,guácimo,26,12,3,0,1585.62
I2392,guácimo,19.7,12,2,0,606.87
I2393,guayaquil,17.5,8,,0,0
I2394,guayaquil,58,20,8,1.0568,28310.41
I2395,guácimo,17.8,8,,0,0
I2396,guácimo,46.8,8,3,0,5137.41
I2397,guayaquil,28.6,20,2,0,1720.93
I2398,guayaquil,37.7,20,4,0,5980.57
I2399,guácimo,28,10,3,0,1838.94
I2400,guácimo,19.8,10,2,0,613.04
I2401,jobo,50.5,20,4,0,9425.94
I2402,guácimo,16.3,4,,0,0
I2403,guácimo,18.2,5,,0,0
I2404,guácimo,16.5,4,,0,0
I2405,guácimo,22.3,10,4,0,1555.25
I2406,laurel,34.3,9,4,0,7559.54
I2407,ceibo barrigón,57,16,8,1.0207,27712.10
I2408,guácimo,37.5,12,3,0,3298.49
I2409,jobo,15.5,6,,0,0
I2410,guarumo,15.8,10,,0,0
I2411,guarumo,29,12,2,0,0
I2412,guanacaste,41.7,14,3,0,14980.05
I2413,guarumo,22,6,,0,0
I2414,indio pelado,23,6,2,0,0
I2415,indio pelado,15.8,5,,0,0
I2416,jobo,15.2,5,,0,0
I2417,guácimo,32.8,6,2,0,1682.32
I2418,poró poró,29.6,10,4,0,0
I2419,frijolillo,17,3,,0,0
I2420,guácimo,28.5,8,,0,0
I2421,guácimo,18.6,8,,0,0
I2422,guácimo,23,8,,0,0
I2423,guácimo,31.8,6,,0,0
I2424,jobo,26.7,13,2,0,1317.45
I2425,jobo,21.4,13,4,0,1692.66
I2426,jocote,23.3,6,,0,0
I2427,jocote,16.3,6,,0,0
I2428,indio pelado,15.2,5,,0,0
I2429,cedro manteco,20,6,,0,0
I2430,jobo,33.3,8,,0,0
I2431,caoba,20,12,2,0,2706.67
I2432,laurel muñeco,18.5,10,2,0,1099.56
I2433,cocobolo,24,10,,0,0
I2434,guácimo,35.5,8,3,0,2956.03
I2435,laurel muñeco,17.5,12,,0,0
I2436,guácimo,40.2,12,,0,0
I2437,guácimo,27.3,2,2,0,1165.43
I2438,guácimo,25.4,12,3,0,1513.28
I2439,guácimo,30.3,12,3,0,2153.46
I2440,guácimo,27.7,14,3,0,1799.75
I2441,guácimo,23.6,14,3,0,1306.40
I2442,guácimo,56.2,14,5,1,12347.35
I2443,tabaquillo,16.7,5,,0,0
I2444,guarumo,21.7,10,,0,0
I2445,jobo,20.5,1.5,,0,0
I2446,indio pelado,19.8,4,,0,0
I2447,indio pelado,19.2,5,,0,0
I2448,laurel,24,10,4,0,3701.09
I2449,guácimo,21.4,6,,0,0
I2450,guácimo,31.3,6,2,0,1531.97
I2451,guaitil,19,6,,0,0
I2452,jocote,36,8,2,0,0
I2453,guácimo,20,5,,0,0
I2454,frijolillo,23.3,6,,0,0
I2455,cocobolo,19.8,10,3,0,3979.21
I2456,indio pelado,28.2,10,4,0,0
I2457,carao espinoso,23.5,8,,0,0
I2458,pochote,23,12,4,0,2406.43
I2459,laurel,29.4,12,4,0,5553.94
I2460,indio pelado,21,8,,0,0
I2461,jobo,16.8,8,,0,0
I2462,cocobolo,21.3,10,4,0,6139.95
I2463,jobo,30.8,15,2,0,1753.13
I2464,laurel,25.8,12,3,0,3207.80
I2465,pochote,25,10,3,0,2132.36
I2466,indio pelado,18.5,8,2,0,0
I2467,guácimo,16,4,,0,0
I2468,laurel,27.4,12,4,0,4824.01
I2469,cedro manteco,19.4,10,3,0,882.79
I2470,corteza amarilla,22.5,10,2,0,2878.68
I2471,guayacán,37.2,12,4,0,7868.91
I2472,cedro manteco,22,12,4,0,1513.69
I2473,guácimo,27.4,8,2,0,1173.98
I2474,laurel,32.2,12,5,0,8327.77
I2475,laurel,19.5,10,2,0,1221.65
I2476,fruta de pava,20.8,10,,0,0
I2477,laurel,15.6,8,,0,0
I2478,laurel,26.2,12,2,0,2205.36
I2479,indio pelado,22.6,10,3,0,0
I2480,guácimo,27.7,10,2,0,1199.83
I2481,guácimo,44.6,10,,0,0
I2482,laurel,28.2,14,4,0,5109.81
I2483,guácimo,28.7,10,3,0,1932.04
I2484,guácimo,20,10,2,0,625.49
I2485,laurel,19.2,3,3,0,1776.52
I2486,cenízaro,72,12,6,1.2215,80916.26
I2487,guácimo,26.3,5,,0,0
I2488,guácimo,18.6,5,,0,0
I2489,jobo,39,10,2,0,2810.87
I2490,cocobolo,58,10,3,0,34144.65
I2491,guácimo,26.3,9,3,0,1622.42
I2492,guácimo,32.7,9,2,0,1672.08
I2493,guácimo,15,9,,0,0
I2494,guácimo,27.8,9,2,0,1208.51
I2495,laurel,36.9,20,10,1,21872.56
I2496,chaperno,23.7,10,2,0,1277.57
I2497,jobo,66,18,6,1.0264,24150.21
I2498,poró poró,17.5,10,,0,0
I2499,laurel,23.8,10,2,0,1819.83
I2500,guácimo,19.5,8,2,0,594.61
I2501,chaperno,26.2,13,,0,0
I2502,chaperno,20.5,13,,0,0
I2503,guayaquil,21.5,10,3,0,1458.81
I2504,guácimo,30.2,8,2,0,1426.18
I2505,laurel,34.6,15,8,0,15384.70
I2506,guayaquil,40.8,18,7,0,12257.97
I2507,guácimo,20.4,6,,0,0
I2508,guaitil,27.7,9,4,0,0
I2509,guácimo,18.4,9,,0,0
I2510,guácimo,24,9,3,0,1351.06
I2511,poró poró,16,10,,0,0
I2512,fruta de pava,16.8,6,,0,0
I2513,panama,40.9,7,2,0,3091.42
I2514,guácimo,31,6,,0,0
I2515,indio pelado,28,8,2,0,0
I2516,guaitil,17.2,6,,0,0
I2517,corteza amarilla,35,9,3,0,10448.54
I2518,guácimo,29.5,8,3,0,2041.25
I2519,guácimo,30.6,8,3,0,2196.32
I2520,guácimo,22.8,8,2,0,812.89
I2521,frijolillo,22.4,8,,0,0
I2522,guayaquil,52,12,5,1,14222.53
I2523,indio pelado,35.4,8,3,0,0
I2524,guaitil,16.2,7,,0,0
I2525,roble sabana,17.5,8,,0,0
I2526,jicaro,16.8,6,,0,0
I2527,guácimo,22.2,8,3,0,1156.00
I2528,laurel,15.5,3,,0,0
I2529,laurel,23,8,2,0,1699.54
I2530,sietecueros-pavillo,16.4,10,,0,0
I2531,guayaquil,20.3,8,2,0,867.01
I2532,gavilancillo,16.5,10,,0,0
I2533,indio pelado,17.2,10,,0,0
I2534,frijolillo,16,6,,0,0
I2535,cocobolo,20.6,8,2,0,2871.51
I2536,cocobolo,25.3,8,1.5,0,3248.46
I2537,cedro manteco,22.6,10,2,0,798.69
I2538,indio pelado,20.3,12,2,0,0
I2539,indio pelado,41.5,12,4,0,0
I2540,guácimo,17.8,4,,0,0
I2541,poró poró,17,5,,0,0
I2542,nance,26.9,8,2,0,0
I2543,laurel,22.2,12,4,0,3166.74
I2544,jobo,42.3,15,10,1,16533.41
I2545,ron ron,32,16,10,0,34645.38
I2546,guanacaste,67.8,20,6,1.0831,79200.96
I2547,indio pelado,26.4,12,4,0,0
I2548,laurel muñeco,23.3,12,4,0,3488.34
I2549,nance,23.8,5,2,0,0
I2550,gavilancillo,42.5,12,3,0,5700.32
I2551,nance,28.5,6,,0,0
I2552,cocobolo,32,2,,0,0
I2553,guácimo macho,15,6,,0,0
I2554,carao espinoso,28.6,20,5,0,0
I2555,carao espinoso,51.3,20,4,0,0
I2556,guayacán,36,15,4,0,7369.42
I2557,pochote,96.3,18,6,2.1851,63279.39
I2558,carao espinoso,25.4,12,2,0,0
I2559,guayacán,18.5,6,,0,0
I2560,guarumo,24.3,20,,0,0
I2561,peine mico,23.5,18,4,0,0
I2562,nance,35.3,12,4,0,0
I2563,nance,34.3,12,2,0,0
I2564,nance,19.8,12,2,0,0
I2565,guaitil,16.2,8,,0,0
I2566,guarumo,20.5,18,,0,0
I2567,peine mico,16.2,10,,0,0
I2568,guanacaste,76.8,20,5,1.1581,84686.13
I2569,guarumo,25.5,20,2,0,0
I2570,guarumo,16.4,18,,0,0
I2571,guarumo,19.2,20,,0,0
I2572,guácimo,33.7,8,3,0,2663.86
I2573,guácimo,71.1,9,3,1,11857.46
I2574,guayaquil,81.5,20,6,1.565,41924.38
I2575,guayaquil,43.5,14,6,0,11943.45
I2576,guácimo,72.5,10,1.5,0,6164.51
I2577,guácimo,68,10,2,0,7230.68
I2578,guanacaste blanco,16.4,6,,0,0
I2579,roble sabana,56.3,18,8,1,31721.81
I2580,guácimo,36.3,12,3,0,3090.76
I2581,guácimo,39.5,12,3,0,3659.71
I2582,guácimo,40.5,12,2,0,2564.90
I2583,guácimo,35,12,2,0,1915.57
I2584,guácimo,40,12,2,0,2501.96
I2585,guácimo,21,12,2,0,689.60
I2586,laurel,41.5,14,6,0,16599.47
I2587,laurel,20.2,14,,0,0
I2588,guanacaste,96.4,18,5,1.8247,133427.05
I2589,cenízaro,33.3,13,4,0,11539.00
I2590,cenízaro,62.4,17,4,1,40518.07
I2591,roble sabana,31.6,10,5,0,6245.90
I2592,cedro amargo,75.5,20,6,1.3431,117173.84
I2593,corteza amarilla,43.3,15,4,0,21322.31
I2594,corteza amarilla,30.7,15,5,0,13398.16
I2595,laurel,26.5,18,4,0,4512.31
I2596,nance,51.8,10,3,0,0
I2597,corteza amarilla,39.2,20,10,1,43688.85
I2598,laurel,32.5,8,2,0,3393.47
I2599,guácimo,55,9,4,0,9460.55
I2600,guachipelín ratón,43.2,15,3,0,15917.95
I2601,laurel,21.2,8,,0,0
I2602,laurel,16.8,8,,0,0
I2603,indio pelado,17.2,5,,0,0
I2604,guácimo,57.5,12,4,1,10340.15
I2605,guácimo,16.5,12,4,0,851.45
I2606,guácimo,28.5,12,4,0,2540.28
I2607,balsa,52.3,15,7,1,13609.43
I2608,guarumo,22.8,15,,0,0
I2609,guarumo,22,15,,0,0
I2610,laurel,23.3,10,3,0,2616.25
I2611,laurel,17.5,6,,0,0
I2612,guácimo,37,8,1.5,0,1605.56
I2613,laurel,23.7,8,4,0,3609.14
I2614,guarumo,20.5,13,,0,0
I2615,guácimo,16,5,,0,0
I2616,guarumo,15,12,,0,0
I2617,guácimo,22.4,9,4,0,1569.23
I2618,guácimo,24.6,9,5,0,2365.76
I2619,cenízaro,47.5,15,5,0,29347.88
I2620,guácimo,91,15,3,1,19423.84
I2621,roble sabana,38.2,8,4,0,7301.93
I2622,guayacán,47,15,2,0,6280.50
I2623,cenízaro,32.2,15,5,0,13486.56
I2624,sietecueros-pavillo,19.2,10,,0,0
I2625,laurel,15,6,,0,0
I2626,guácimo,15.5,4,,0,0
I2627,guaba,28.3,15,3,0,0
I2628,guaba,26.2,15,3,0,0
I2629,guácimo,31.9,10,4,0,3182.53
I2630,roble sabana,73.5,5,6,1.2729,40548.71
I2631,tabaquillo,16,10,,0,0
I2632,panama,26.5,15,3,0,1946.68
I2633,carao,87,18,5,1.4862,0
I2634,carao,55.5,18,5,1,0
I2635,guanacaste blanco,16.4,10,,0,0
I2636,laurel,31.5,10,5,0,7969.63
I2637,laurel,20.6,8,3,0,2045.04
I2638,guayaquil,16.8,10,2,0,593.81
I2639,laurel,19.6,10,3,0,1851.31
I2640,guachipelín,29.5,9,4,0,4948.49
I2641,guácimo,18.6,8,2,0,540.99
I2642,cocobolo,42.4,12,3,0,18247.29
I2643,sietecueros-pavillo,29.7,10,2,0,2006.33
I2644,guácimo,32.3,12,3,0,2447.13
I2645,guácimo,35.8,12,2,0,2004.14
I2646,guachipelín,26.7,6,2,0,2026.85
I2647,guácimo,25,7,,0,0
I2648,guácimo,31.8,7,,0,0
I2649,frijolillo,45.5,12,3,0,7063.22
I2650,laurel,44.3,12,6,0,18914.97
I2651,saíno,52.8,15,8,1,31704.89
I2652,guácimo,47.3,10,2,0,3498.51
I2653,ceiba,15.8,2,,0,0
I2654,guácimo,70.5,13,3,1,11658.18
I2655,roble sabana,56.5,16,2,0,7986.90
I2656,guanacaste,92,15,5,1.6619,121524.96
I2657,guácimo,29.7,12,2,0,1379.35
I2658,guácimo,43,12,2,0,2891.33
I2659,guanacaste,82,15,3,1,57925.37
I2660,jobo,66.5,15,6,1.042,24517.51
I2661,guanacaste,126,15,6,3.7407,273534.54
I2662,guayacán,27,12,3,0,3108.98
I2663,guaitil,31,10,3,0,0
I2664,guácimo,46,9,2,0,3308.85
I2665,guácimo,29.2,8,3,0,1999.95
I2666,guácimo,51.3,8,3,0,6172.87
I2667,guácimo,45.5,6,3,0,4855.96
I2668,guachipelín,26.7,7,2,0,2026.85
I2669,guachipelín,32.7,7,2,0,3040.14
I2670,guácimo,23.5,7,2,0,863.57
I2671,guácimo,20.7,7,2,0,670.04
I2672,guachipelín,33.8,8,2,0,3248.12
I2673,guácimo,24.4,7,2,0,930.98
I2674,guácimo,16.7,7,2,0,436.11
I2675,guácimo,20.5,7,,0,0
I2676,guácimo,26.8,7,,0,0
I2677,guácimo,22.7,7,,0,0
I2678,guácimo,33.4,8,3,0,2616.65
I2679,cenízaro,72,14,4,1,53944.17
I2680,cocobolo,32.2,9,4,0,14031.92
I2681,guácimo,62.6,8,4,1,12255.75
I2682,cenízaro,128,15,5,3.217,213112.78
I2683,guácimo,70,10,3,1,11493.40
I2684,almendro de playa,27.3,6,4,0,0
I2685,guanacaste blanco,62.5,20,3,0,33651.24
I2686,guanacaste blanco,59.3,3,3,0,30293.57
I2687,orgullo de la india,33.8,8,3,0,0
I2688,nance,27.9,7,4,0,0
I2689,sietecueros-pavillo,22.3,7,3,0,1696.64
I2690,laurel,29,6,2,0,2701.92
I2691,sietecueros-pavillo,24.8,8,2,0,1398.92
I2692,sietecueros-pavillo,26.4,6,3,0,2377.87
I2693,laurel,38.5,12,4,0,9524.20
I2694,lorito,22.5,8,,0,0
I2695,lorito,26.7,8,,0,0
I2696,lorito,38,9,2,0,0
I2697,lorito,33.8,12,2,0,0
I2698,lorito,19.2,12,,0,0
I2699,lorito,38,12,,0,0
I2700,lorito,41,12,,0,0
I2701,nance,20.8,5,,0,0
I2702,roble sabana,29.4,12,5,0,5406.49
I2703,guachipelín,21.7,12,2,0,1338.81
I2704,guachipelín,17.7,12,2,0,890.73
I2705,guachipelín,33.5,12,4,0,6381.43
I2706,indio pelado,16,5,,0,0
I2707,guanacaste,80,14,2,1,36756.13
I2708,guanacaste,24,14,,0,0
I2709,indio pelado,39.8,6,3,0,0
I2710,nance,40,4,,0,0
I2711,almendro de montaña,32.2,6,,0,0
I2712,laurel de la india,22,6,,0,0
I2713,guachipelín,31.8,5,2,0,2875.10
I2714,nance,38.5,6,2,0,0
I2715,laurel de la india,19.2,6,,0,0
I2716,laurel de la india,24.6,6,,0,0
I2717,laurel de la india,27,5,,0,0
I2718,laurel de la india,21.4,5,,0,0
I2719,laurel de la india,32,5,,0,0
I2720,lorito,21.3,8,3,0,0
I2721,nance,28.5,6,2,0,0
I2722,lorito,28.5,8,1.5,0,0
I2723,lorito,41.3,7,,0,0
I2724,cañafístula,15.7,5,,0,0
I2725,cañafístula,21.3,3,,0,0
I2726,almendro de playa,21.3,5,2,0,0
I2727,roble sabana,45,8,3,0,7599.72
I2728,sietecueros-pavillo,39.2,6,2,0,3495.11
I2729,nance,36.5,6,3,0,0
I2730,guanacaste,38.8,7,2,0,8645.96
I2731,almendro de montaña,31.8,5,2,0,1293.79
I2732,guaitil,28.5,6,,0,0
I2733,guaitil,32,6,,0,0
I2734,lorito,35.7,6,2,0,0
I2735,lorito,35.5,7,2,0,0
I2736,cedro amargo,31,8,4,0,13169.49
I2737,roble sabana,37.6,9,5,0,8842.94
I2738,guarumo,19,15,,0,0
I2739,poró poró,19.5,15,,0,0
I2740,laurel,28.5,15,4,0,5219.11
I2741,guácimo,47.5,6,3,0,5292.24
I2742,guácimo,26.8,6,3,0,1684.70
I2743,guácimo,64.2,8,,0,0
I2744,guarumo,21,15,,0,0
I2745,guarumo,30.6,18,,0,0
I2746,guarumo,47.4,8,3,0,0
I2747,papaturro,17,8,,0,0
I2748,papaturro,21,8,,0,0
I2749,papaturro,35.3,8,,0,0
I2750,papaturro,19.1,8,,0,0
I2751,papaturro,18.2,8,,0,0
I2752,papaturro,20.5,8,,0,0
I2753,papaturro,33.5,8,,0,0
I2754,papaturro,17,8,,0,0
I2755,papaturro,17.6,8,,0,0
I2756,jaboncillo,43.4,18,6,0,0
I2757,tabaquillo,18.6,8,3,0,0
I2758,tabaquillo,44.5,18,8,1,0
I2759,corteza amarilla,23,10,2,0,3008.04
I2760,corteza amarilla,20.1,8,2,0,2297.32
I2761,guácimo,15.8,6,,0,0
I2762,roble sabana,51,15,5,1,16269.02
I2763,tabaquillo,41,15,6,0,0
I2764,guácimo,29.4,10,2,0,1351.62
I2765,cenízaro,80,18,6,1.508,99896.61
I2766,guachipelín,42.5,15,4,0,10270.85
I2767,roble sabana,16.4,8,,0,0
I2768,guácimo,35.9,10,2,0,2015.35
I2769,guácimo,19.4,6,,0,0
I2770,guácimo,39.5,10,3,0,3659.71
I2771,guácimo,16,5,,0,0
I2772,guácimo,39.6,10,3,0,3678.26
I2773,guácimo,36.7,9,5,0,5265.42
I2774,guachipelín,21.2,10,2,0,1277.82
I2775,guácimo,32.5,8,2,0,1651.69
I2776,guácimo,20.3,5,,0,0
I2777,guácimo,22.5,7,2,0,791.64
I2778,cocobolo,17.5,10,,0,0
I2779,sietecueros-pavillo,17.8,10,3,0,1080.99
I2780,pochote,103.3,20,3,1.2571,36406.62
I2781,guácimo,22.5,8,2,0,791.64
I2782,roble sabana,45.2,15,6,0,15334.84
I2783,guácimo,25.2,10,2,0,993.03
I2784,laurel,26.4,12,5,0,5597.90
I2785,indio pelado,29.2,12,4,0,0
I2786,guácimo,27.5,8,3,0,1773.85
I2787,guayaquil,50.3,20,4,0,10646.24
I2788,guácimo,18,8,,0,0
I2789,pochote,59,20,3,0,11876.37
I2790,pochote,77.8,19,6,1.4262,41301.79
I2791,pochote,37.3,15,2,0,3164.51
I2792,laurel,38.8,13,6,0,14509.81
I2793,guácimo,24,7,,0,0
I2794,guácimo,22.5,7,,0,0
I2795,guayaquil,19.3,12,,0,0
I2796,pochote,69,15,5,1,27072.39
I2797,pochote,81.5,20,6,1.565,45323.65
I2798,pochote,71.8,15,4,1,23451.32
I2799,pochote,80.4,20,4,1.0154,29405.63
I2800,ron ron,17,10,2,0,1955.57
I2801,ron ron,21.5,10,2,0,3127.90
I2802,guayaquil,37.2,15,4,0,5822.99
I2803,guácimo,31.5,10,2,0,1551.61
I2804,guácimo,18,6,,0,0
I2805,corteza amarilla,15.8,8,,0,0
I2806,laurel,33.5,12,6,0,10816.53
I2807,laurel,20.5,8,,0,0
I2808,guayaquil,64.3,20,8,1.2989,34794.62
I2809,ron ron,35,20,9,0,37301.30
I2810,guachipelín,42.8,10,4,0,10416.36
I2811,laurel,40,13,8,1,20561.60
I2812,laurel,53.5,14,8,1,36782.77
I2813,laurel,25.5,12,3,0,3133.64
I2814,laurel,24.2,12,3,0,2822.27
I2815,indio pelado,34.4,8,2,0,0
I2816,laurel,31.8,16,8,0,12995.44
I2817,guayaquil,48,20,6,1,14542.33
I2818,guanacaste blanco,47.7,18,9,1,58802.95
I2819,guanacaste blanco,79.5,20,6,1.4892,108894.35
I2820,guanacaste blanco,35.7,20,5,0,18298.95
I2821,guácimo,17.5,6,,0,0
I2822,guayaquil,40.5,15,3,0,5176.44
I2823,cocobolo,31,10,4,0,13005.55
I2824,guácimo,35.5,12,3,0,2956.03
I2825,guácimo,37,12,3,0,3211.11
I2826,guácimo,40,12,2,0,2501.96
I2827,guachipelín,22,9,3,0,2064.12
I2828,guayaquil,27.5,15,3,0,2386.64
I2829,guayaquil,31,15,4,0,4043.74
I2830,ceiba,39.5,18,6,0,9981.03
I2831,laurel,39,15,6,0,14659.78
I2832,laurel,16,10,,0,0
I2833,guachipelín,32.7,8,2,0,3040.14
I2834,guácimo,26,6,2,0,1057.08
I2835,laurel,25,15,7,0,7027.89
I2836,laurel,26,10,4,0,4343.64
I2837,cenízaro,77,15,5,1.1642,77120.71
I2838,guachipelín,49.5,15,3,0,10449.61
I2839,guácimo,26.2,8,2,0,1073.41
I2840,guácimo,37.5,8,4,0,4397.98
I2841,guácimo,28,8,2,0,1225.96
I2842,guácimo,17.2,8,,0,0
I2843,higuerón,95.5,8,0,0,0
I2844,higuerón,112.3,8,0,0,0
I2845,higuerón,76.5,9,0,0,0
I2846,guácimo,68,6,3,1,10846.02
I2847,guácimo,59.4,9,3,0,8276.09
I2848,guayaquil,34,4,2,0,2432.14
I2849,cenízaro,120,15,5,2.8274,187306.15
I2850,guachipelín,54,12,4,0,16581.20
I2851,guachipelín,22.7,8,2,0,1465.04
I2852,carao,64,10,4,1,0
I2853,higuerón,122.8,10,0,0,0
I2854,roble sabana,16.5,8,3,0,1021.74
I2855,guayaquil,19.5,8,2,0,800.02
I2856,guayaquil,37.6,15,6,0,8923.33
I2857,guayaquil,54,15,4,0,12270.09
I2858,indio pelado,29.2,8,4,0,0
I2859,guayaquil,50.5,20,8,1,21462.13
I2860,guayacán,18.8,8,,0,0
I2861,chaperno,26.5,15,3,0,2395.92
I2862,chaperno,18,15,3,0,1105.41
I2863,chaperno,28.4,15,3,0,2751.80
I2864,capulín,20.5,12,4,0,1314.31
I2865,guarumo,19.8,20,,0,0
I2866,guarumo,22.7,20,,0,0
I2867,capulín,15.5,12,3,0,563.53
I2868,balsa,22.2,15,3,0,1050.91
I2869,guarumo,27.3,22,,0,0
I2870,guarumo,33.4,23,,0,0
I2871,jobo,22,8,,0,0
I2872,laurel,18,8,,0,0
I2873,laurel de la india,70.5,9,2,0,0
I2874,lorito,22,5,,0,0
I2875,nance,20.7,6,,0,0
I2876,guachipelín ratón,22.5,13,4,0,5757.36
I2877,laurel,26.3,12,3,0,3333.34
I2878,laurel,29,15,3,0,4052.88
I2879,laurel,45.6,16,8,1,26721.85
I2880,guácimo,43.2,10,2,0,2918.29
I2881,laurel,47.4,15,8,1,28873.11
I2882,indio pelado,18.3,7,,0,0
I2883,cenízaro,60.5,18,6,1,57132.28
I2884,guaitil,15.4,5,,0,0
I2885,cedro amargo,61.8,15,8,1.1998,104677.28
I2886,cedro amargo,22.5,10,4,0,6937.62
I2887,guachipelín ratón,24.5,12,3,0,5119.79
I2888,guácimo,16.3,6,,0,0
I2889,guácimo,19.5,8,,0,0
I2890,guarumo,18,15,,0,0
I2891,lorito,16.5,4,,0,0
I2892,guácimo,43,10,3,0,4337.00
I2893,guanacaste blanco,47,18,6,1,38059.83
I2894,guanacaste blanco,22.4,18,,0,0
I2895,guácimo,15,10,,0,0
I2896,corteza amarilla,34.5,15,5,0,16920.24
I2897,guácimo,16.3,10,,0,0
I2898,laurel,36.7,18,8,0,17308.88
I2899,carao,43.3,15,3,0,0
I2900,guanacaste,155.5,20,6,5.6973,416612.08
I2901,guachipelín,43.2,10,3,0,7958.98
I2902,sietecueros-pavillo,46.6,12,4,0,9878.48
I2903,guarumo,39.2,15,3,0,0
I2904,guácimo,53.5,10,3,0,6713.67
I2905,guácimo,34.5,12,2,0,1861.23
I2906,guácimo,30,12,2,0,1407.35
I2907,guácimo,20.7,12,,0,0
I2908,guácimo,28.8,12,,0,0
I2909,guácimo,31.3,12,,0,0
I2910,laurel,35.3,12,6,0,12010.13
I2911,guácimo,36.2,10,3,0,3073.76
I2912,roble sabana,21.2,12,3,0,1686.72
I2913,guanacaste blanco,33,15,7,0,21890.00
I2914,cocobolo,20,8,3,0,4060.01
I2915,cocobolo,19.8,6,,0,0
I2916,cocobolo,17.3,6,,0,0
I2917,cocobolo,18.5,12,,0,0
I2918,cocobolo,26,12,,0,0
I2919,cocobolo,17.4,12,,0,0
I2920,guayacán,29.5,10,3,0,3711.37
I2921,guácimo,25.5,9,3,0,1525.22
I2922,guácimo,32.2,10,3,0,2432.00
I2923,guácimo,23.5,10,,0,0
I2924,laurel,34.5,12,6,0,11471.93
I2925,arenillo,25,7,,0,0
I2926,arenillo,17,7,,0,0
I2927,guanacaste blanco,23.2,12,3,0,4636.79
I2928,tabaquillo,26,15,5,0,0
I2929,guanacaste blanco,90,16,8,2.5447,186077.92
I2930,guácimo,19,6,,0,0
I2931,jocote,15.5,5,,0,0
I2932,jocote,15.5,5,,0,0
I2933,laurel,16.5,8,,0,0
I2934,indio pelado,37.5,8,4,0,0
I2935,laurel,16.5,7,,0,0
I2936,indio pelado,18,6,3,0,0
I2937,indio pelado,24.1,8,3,0,0
I2938,indio pelado,25.4,10,3,0,0
I2939,indio pelado,30,11,2,0,0
I2940,laurel,20,8,,0,0
I2941,sietecueros-pavillo,17.3,10,,0,0
I2942,laurel,20.9,10,,0,0
I2943,frijolillo,21.5,8,4,0,2102.79
I2944,laurel,25,10,5,0,5019.92
I2945,sietecueros-pavillo,24.5,12,5,0,3413.19
I2946,corteza amarilla,18,10,3,0,2763.53
I2947,guácimo,17,8,,0,0
I2948,guácimo,20,8,,0,0
I2949,indio pelado,20,10,,0,0
I2950,guácimo,27.5,8,,0,0
I2951,laurel,19,8,,0,0
I2952,guácimo,20.2,8,2,0,638.06
I2953,guácimo,21,8,2,0,689.60
I2954,jocote,39.2,6,2,0,0
I2955,roble sabana,26.2,7,1.5,0,1288.09
I2956,roble sabana,34.5,11,3,0,4466.94
I2957,indio pelado,27.5,12,4,0,0
I2958,indio pelado,19.6,12,2,0,0
I2959,roble sabana,22,10,5,0,3027.38
I2960,indio pelado,23.2,10,3,0,0
I2961,indio pelado,23.6,10,3,0,0
I2962,guanacaste blanco,46.7,8,2,0,12525.17
I2963,guácimo,21.4,8,2,0,716.12
I2964,guácimo,20,8,3,0,938.24
I2965,indio pelado,37,10,4,0,0
I2966,guácimo,18.5,5,2,0,535.19
