Secuencia,Nombre común,Diámetro (cm),Altura total (m),Altura comercial (m),Volumen comercial (m3),Valor comercial aproximado (CRC)
D2220,guácimo,37.5,8,1.5,0,1649.24
D2221,indio pelado,64,5,1.5,0,0
D2222,indio pelado,36,12,1.5,0,0
D2223,guácimo,26,8,1.5,0,792.81
D2224,guayaquil,24,14,2.5,0,1514.83
D2225,guácimo,19,8,1.5,0,423.38
D2226,guácimo,19,8,1.3,0,366.93
D2227,pochote,51,18,5,1,14790.02
D2228,guácimo,23,5,1.3,0,537.69
D2229,guanacaste blanco,70,20,3,1,42212.12
D2230,guanacaste blanco,31,20,2,0,5519.16
D2231,guácimo,35.7,8,1.5,0,1494.72
D2232,guácimo,35,8,1.3,0,1245.12
D2233,guachipelín,25,9,2,0,1776.96
D2234,laurel,29,10,2,0,2701.92
D2235,cedro amargo,36,12,3,0,13320.23
D2236,guácimo,44.5,10,1.5,0,2322.43
D2237,guácimo,35.1,10,1.3,0,1252.24
D2238,cenízaro,25,8,2,0,3251.84
D2239,guácimo,31,7,1.3,0,976.78
D2240,guácimo,25,7,1.5,0,733.00
D2241,guácimo,33,8,1.5,0,1277.17
D2242,laurel,23.4,10,2,0,1759.17
D2243,guarumo,39,15,3,0,0
D2244,laurel muñeco,16,5,1.3,0,534.60
D2245,guácimo,44,10,1.5,0,2270.53
D2246,guácimo,34.5,7,1.5,0,1395.92
D2247,cenízaro,77,16,4,1,61696.57
D2248,guácimo,27.3,6,1.5,0,874.07
D2249,guácimo,17.5,6,1.5,0,359.17
D2250,hule,18,10,3,0,0
D2251,roble sabana,19.6,10,2,0,961.15
D2252,guácimo,26.2,8,2,0,1073.41
D2253,carao,37,7,1.3,0,0
D2254,guácimo,16.5,7,1.3,0,276.72
D2255,guácimo,30,6,1.5,0,1055.52
D2256,guayaquil,72.4,16,4,1,22056.54
D2257,guácimo,40.9,9,2,0,2615.82
D2258,caoba,36.8,14,5,0,22909.26
D2259,laurel,41.9,4,1,0,2820.17
D2260,guarumo,30.5,10,2,0,0
D2261,guarumo,18.2,10,1.5,0,0
D2262,guácimo,52.8,9,1.5,0,3269.57
D2263,guácimo,45,9,1.5,0,2374.91
D2264,guácimo,45.3,8,1.5,0,2406.68
D2265,guácimo,38.3,7,1.5,0,1720.36
D2266,guácimo,40.4,10,2,0,2552.25
D2267,guácimo,35.2,10,1.5,0,1453.14
D2268,laurel,22,11,2,0,1554.97
D2269,jobo,44,15,3,0,5366.71
D2270,laurel,16,8,1.5,0,616.85
D2271,guácimo,32,9,2,0,1601.26
D2272,laurel,31,6,2,0,3087.45
D2273,guácimo,16.5,5,1.3,0,276.72
D2274,laurel,23.8,6,1.5,0,1364.87
D2275,guácimo,31.8,7,1.5,0,1185.98
D2276,ron ron,24.3,15,2,0,3995.65
D2277,guácimo,31.4,8,1.5,0,1156.33
D2278,ron ron,27.5,16,4,0,10234.60
D2279,guácimo,65,10,1.3,0,4294.39
D2280,cenízaro,52.5,15,4,0,28681.25
D2281,guayaquil,31.4,12,3,0,3111.58
D2282,jobo,42,18,4,0,6519.89
D2283,jobo,46,18,3,0,5865.68
D2284,jobo,45,18,3,0,5613.43
D2285,guácimo,34,18,2,0,1807.67
D2286,roble sabana,39.4,16,4,0,7767.90
D2287,ron ron,22,16,3,0,4912.61
D2288,guácimo colorado,100,20,4,1.5708,0
D2289,guayacán,30,9,1.5,0,1919.12
D2290,caoba,21.2,12,3,0,4561.82
D2291,ron ron,21.9,15,2.5,0,4056.71
D2292,caoba,43,14,2,0,12511.58
D2293,saíno,24,12,3,0,2456.47
D2294,cedro amargo,54,16,5,1,49950.87
D2295,guayaquil,17.4,12,2,0,636.98
D2296,caoba,22.2,9,2,0,3334.89
D2297,cedro amargo,31.3,14,2.5,0,8391.01
D2298,guácimo,37.8,10,1.5,0,1675.74
D2299,cedro amargo,31,11,2,0,6584.74
D2300,saíno,36.5,14,4,0,7575.55
D2301,guácimo,15.5,6,1.3,0,244.20
D2302,guayaquil,41.9,16,6,0,11081.01
D2303,laurel,26,15,4,0,4343.64
D2304,cenízaro,18.5,5,1.3,0,1157.46
D2305,cedro manteco,15.7,7,1.5,0,289.08
D2306,chaperno blanco,36,14,1.5,0,0
D2307,laurel,27.3,14,2.5,0,2993.04
D2308,guácimo,17.3,7,1.5,0,351.01
D2309,pochote,65,12,2,0,9609.82
D2310,guarumo,29.5,14,2,0,0
D2311,cocobolo,22,14,2,0,3275.07
D2312,soncoya,20,8,1.5,0,0
D2313,soncoya,18,6,1.5,0,0
D2314,ron ron,18.5,11,1.5,0,1736.92
D2315,guanacaste,64,16,4,1,47047.85
D2316,guácimo,32,9,1.5,0,1200.94
D2317,cedro manteco,25,7,2,0,977.33
D2318,laurel,27,11,2,0,2342.09
D2319,laurel,18,8,1.5,0,780.70
D2320,laurel,19,9,1.5,0,869.85
D2321,laurel,17.5,8,2,0,983.90
D2322,laurel,33,15,5,0,8746.71
D2323,indio pelado,22.3,8,1.5,0,0
D2324,chaperno blanco,37,14,2,0,0
D2325,fruta de pava,36,10,3,0,0
D2326,poró poró,27,8,2,0,0
D2327,guácimo,19.5,8,1.5,0,445.96
D2328,guácimo,17,7,1.3,0,293.75
D2329,guayaquil,16,7,1.5,0,403.95
D2330,cedro amargo,51.8,12,4,0,36770.96
D2331,guanacaste,69.5,15,3,1,41611.24
D2332,laurel,39.8,18,5,0,12722.81
D2333,guanacaste,29,7,1.5,0,3622.49
D2334,guanacaste,35,7,1.5,0,5276.51
D2335,guanacaste,22,6,1.3,0,1806.79
D2336,guanacaste,18,6,1.3,0,1209.51
D2337,guanacaste,19.8,6,1.3,0,1463.50
D2338,guayaquil,23.2,8,2,0,1132.42
D2339,peipute,20,7,2,0,0
D2340,guácimo,24.6,6,1.5,0,709.73
D2341,guácimo,18.5,6,1.3,0,347.87
D2342,guácimo,16.5,6,1.3,0,276.72
D2343,guácimo,30.6,7,1.5,0,1098.16
D2344,laurel,27,8,1.5,0,1756.57
D2345,cortez negro,32.6,12,2,0,6043.15
D2346,laurel,31.4,11,2,0,3167.64
D2347,capulín,21,8,1.5,0,517.20
D2348,guarumo,21,8,1.5,0,0
D2349,guarumo,18.5,7,1.5,0,0
D2350,guácimo,40.5,9,1.5,0,1923.68
D2351,guácimo,21,9,1.5,0,517.20
D2352,guácimo,15.4,4,1.3,0,241.05
D2353,guarumo,20,5,1.5,0,0
D2354,guarumo,19,5,1.5,0,0
D2355,guayaquil,22,8,2,0,1018.30
D2356,guaitil,30,7,1.5,0,0
D2357,laurel,37,15,3,0,6597.38
D2358,cortez negro,26,11,2,0,3843.93
D2359,cenízaro,79,14,3,1,48707.40
D2360,laurel,24.5,11,3,0,2892.68
D2361,guarumo,21,9,1.5,0,0
D2362,indio pelado,58,12,1.5,0,0
D2363,guayaquil,19.9,8,1.5,0,624.88
D2364,ron ron,15,9,1.5,0,1141.88
D2365,guayaquil,28,14,3,0,2474.22
D2366,guácimo,27.9,8,2,0,1217.22
D2367,guácimo,38,12,1.5,0,1693.52
D2368,guácimo,37.5,12,1.5,0,1649.24
D2369,guácimo,70,12,1.3,0,4980.47
D2370,guácimo,24,12,1.5,0,675.53
D2371,guayaquil,22,8,2,0,1018.30
D2372,guácimo,45.2,9,2,0,3194.76
D2373,guayaquil,32.5,9,2,0,2222.27
D2374,guayaquil,25.5,10,2,0,1368.08
D2375,guácimo,42.4,12,3,0,4216.81
D2376,guácimo,43,12,1.5,0,2168.50
D2377,guácimo,31,8,1.5,0,1127.06
D2378,guácimo,27.5,8,1.5,0,886.93
D2379,guayaquil,43.5,12,4,0,7962.30
D2380,guácimo,25,9,1.5,0,733.00
D2381,guácimo,20.8,9,1.5,0,507.40
D2382,cortez negro,26,11,3,0,5765.89
D2383,jobo,68.5,16,4,1,17342.95
D2384,sietecueros-pavillo,17.5,7,1.5,0,522.43
D2385,guácimo,33.5,8,1.5,0,1316.17
D2386,jobo,50.7,14,2.5,0,5937.97
D2387,guaitil,20.8,3,1.3,0,0
D2388,guácimo,54,11,1.5,0,3419.87
D2389,guácimo,25,9,1.5,0,733.00
D2390,guácimo colorado,45.5,14,2,0,0
D2391,guanacaste,82,15,2.5,1,48271.14
D2392,cortez negro,24.2,8,2,0,3330.11
D2393,guácimo,54,6,1.5,0,3419.87
D2394,guayaquil,46,14,2,0,4451.90
D2395,guácimo,23,7,1.5,0,620.41
D2396,guácimo,27,7,1.5,0,854.97
D2397,cortez negro,37,10,2.5,0,9730.65
D2398,guachipelín,31.3,8,3,0,4178.10
D2399,roble sabana,44,12,2,0,4843.80
D2400,roble sabana,51.8,12,4,0,13426.74
D2401,cocobolo,37,10,2,0,9263.58
D2402,roble sabana,61.5,15,5,1,23657.64
D2403,roble sabana,35,10,2,0,3064.91
D2404,guácimo,48,12,1.5,0,2702.12
D2405,laurel,15.5,10,2,0,771.86
D2406,guácimo,21.5,6,1.5,0,542.12
D2407,roble sabana,31.2,12,2,0,2435.51
D2408,roble sabana,39.5,14,3,0,5855.53
D2409,guayaquil,50.6,15,3,0,8080.21
D2410,guayaquil,54.5,15,4,0,12498.36
D2411,roble sabana,32.2,9,2,0,2594.14
D2412,cedro amargo,21,6,1.5,0,2266.29
D2413,guácimo,86,10,1.5,0,8674.00
D2414,cedro amargo,54,15,6,1,59941.04
D2415,roble sabana,33.2,11,2,0,2757.77
D2416,cedro amargo,16.5,5,1.5,0,1399.09
D2417,guanacaste,57,12,3,0,27989.22
D2418,guayaquil,77,20,5,1.1642,31185.42
D2419,guanacaste,94,20,2.5,1,63433.04
D2420,roble sabana,33,11,2,0,2724.64
D2421,cedro amargo,35.9,18,6,0,26492.66
D2422,guácimo,66,11,1.5,0,5108.70
D2423,roble sabana,15.5,7,1.5,0,450.82
D2424,ron ron,45.5,11,2.5,0,17510.89
D2425,roble sabana,47.5,11,2,0,5645.06
D2426,guácimo,72,12,1.5,0,6079.77
D2427,guachipelín,24.5,8,1.5,0,1279.95
D2428,guácimo,52,8,1.5,0,3171.24
D2429,sietecueros-pavillo,31,10,2,0,2185.81
D2430,sietecueros-pavillo,37.8,10,2,0,3249.92
D2431,sietecueros-pavillo,33,8,1.5,0,1857.71
D2432,higuerón,170,14,0,0,0
D2433,mamón,40,12,3,0,0
D2434,roble sabana,53.8,12,3,0,10862.68
D2435,roble sabana,56.4,14,6,1,23875.95
D2436,guachipelín,50,10,3,0,10661.78
D2437,almendro de playa,52.8,10,3,0,0
D2438,tamarindo,41,12,3,0,0
D2439,alcornoque,110,12,2,1,34402.01
D2440,cañafístula,33,6,2,0,0
D2441,roble sabana,54,12,2,0,7295.73
D2442,guácimo,76.8,12,1.5,0,6917.43
D2443,guácimo,34.5,8,1.5,0,1395.92
D2444,guácimo,72,11,1.5,0,6079.77
D2445,guácimo,60,11,1.5,0,4222.06
D2446,guácimo,56.5,11,2,0,4991.81
D2447,guácimo,54,10,1.5,0,3419.87
D2448,laurel,45,14,6,0,19517.45
D2449,laurel,32.8,12,4,0,6912.81
D2450,laurel,44,8,1.5,0,4664.91
D2451,cenízaro,54,12,5,1,37929.50
D2452,guácimo,33,10,1.5,0,1277.17
D2453,guácimo,29,9,1.3,0,854.81
D2454,laurel,38,12,4,0,9278.42
D2455,laurel,23,8,2,0,1699.54
D2456,laurel,33,12,4,0,6997.37
D2457,guácimo,44,10,1.5,0,2270.53
D2458,guácimo,54,10,1.5,0,3419.87
D2459,laurel,48,12,6,1,22206.53
D2460,malinche,41,6,2,0,0
D2461,malinche,30.6,6,2,0,0
D2462,guanacaste blanco,65.5,14,3,1,36959.30
D2463,roble sabana,41,6,2,0,4205.80
D2464,higuerón,32,6,0,0,0
D2465,almendro de playa,16,3,1.5,0,0
D2466,laurel de la india,55,5,1.5,0,0
D2467,almendro de montaña,70,7,1.5,0,4701.85
D2468,castaño,18.5,6,1.5,0,0
